epoch,train_loss,eval_loss,eval_prec1,eval_prec5
0,6.8999593367716185,6.857949432373047,0.194,0.94
1,5.546918670832664,3.905570192337036,20.994,44.48400001464844
2,4.395406833835053,3.006337488327026,35.264000006103515,61.67800002685547
3,3.892194066422602,2.601740742111206,42.62399999389648,69.37400000976562
4,3.6371094091441893,2.3579892557144166,47.524000018310545,73.55799999023438
5,3.5011382278761003,2.254817378120422,49.06200000244141,75.25200001220703
6,3.3639743392409613,2.17957368560791,50.958000017089844,76.78000000732422
7,3.2845581352252182,2.1054749000167847,52.79400001953125,78.04200002441407
8,3.2284550693011544,2.056339275741577,53.51799999511719,78.88200001464844
9,3.1825400228468923,2.00370290184021,54.86600001342774,79.65200001953124
10,3.1469429995656575,1.9735024028015136,55.304,79.88400002685547
11,3.122000675123285,1.923803984451294,55.97200000732422,80.73200001708985
12,3.1014357402567883,1.9433895574188231,56.262000014648436,80.74600001708984
13,3.0808739673842416,1.8899584168624879,56.93400001220703,81.46400001953126
14,3.0641162070804975,1.904893097267151,56.60400001220703,81.15600001708984
15,3.049108872297868,1.8763967378997803,56.96599999755859,81.54000000976562
16,3.0374580284541324,1.8518904276657104,57.52600001464844,81.70000003173828
17,3.026484346184915,1.847369211845398,57.4499999987793,81.66799999267577
18,3.0155574935980165,1.8351963284683228,57.94600000244141,82.0520000024414
19,3.0068286232019785,1.8232714625930786,58.42600000732422,82.44200001464844
20,3.0003976334295426,1.832269589729309,57.92400001953125,82.178
21,2.992292539379506,1.8347608877563477,58.26000000488281,82.20399999023438
22,2.986691743585063,1.8216266090393067,58.511999998779295,82.39999998779297
23,2.982622637878778,1.8030057079696655,58.84400002685547,82.78599999023437
24,2.9737813477511885,1.784652205543518,59.06400002929688,83.0520000024414
25,2.9690708670062085,1.7804822021484374,59.14200001464844,82.82999999267578
26,2.965325275135869,1.7747572916030885,59.22600000244141,83.16600001220704
27,2.9596301460256584,1.780341731185913,59.06999999633789,82.98600003173829
28,2.9563825418689724,1.775552940788269,59.34999999633789,83.32000003417969
29,2.9529228582762377,1.775529164543152,59.28000001953125,83.08800003173828
30,2.5785667088043915,1.3637156832885742,68.53200001708984,88.86200000976562
31,2.478569827376099,1.3232290075302124,69.59600002197266,89.39600000732422
32,2.440899852272847,1.3021619950866699,70.17200002441406,89.70600003417968
33,2.4174905413454115,1.2869665533065795,70.43400002929687,89.92800000732421
34,2.4027491985995257,1.2842260636901854,70.60800002929687,89.99800002685546
35,2.3924530618304387,1.277662776222229,70.67200001220704,89.98800003662109
36,2.38490793512994,1.2678445532608031,70.794,90.18600002929688
37,2.379649037628315,1.2584109400558472,70.95600000488281,90.10600003173828
38,2.377792680367138,1.2624328601837158,70.79600001464844,90.15600003173829
